Autor	Drenagem	Ponto	SILVI%	AGRI%	Pastagem%	INFURB%	MINE%	AGUA%	RODO%
Lilian_Casatti	2	1	0	17.65	82.35	0	0	0	0
Lilian_Casatti	2	2	0	3.03	0	0	0	0	0
Lilian_Casatti	2	3	Drenagem	9.38	90.63	0	0	0	0
Lilian_Casatti	2	4	0	0	90.63	0	0	0	0
Lilian_Casatti	2	5	0	0	93.94	0	0	0	0
Lilian_Casatti	2	6	0	22.58	77.42	0	0	0	0
Lilian_Casatti	2	7	0	0	100	0	0	0	0
Lilian_Casatti	2	8	0	0	47.06	0	0	0	0
Lilian_Casatti	2	9	0	0	76.47	0	0	0	0
Lilian_Casatti	2	10	0	33.33	66.67	0	0	0	0
Lilian_Casatti	2	12	0	12.9	87.1	0	0	0	0
Lilian_Casatti	2	13	0	0	100	0	0	0	0
Lilian_Casatti	2	14	0	0	97.06	0	0	0	0
Lilian_Casatti	2	15	0	12.5	87.5	0	0	0	0
Lilian_Casatti	2	16	0	7.32	75.61	0	0	0	17.07
Lilian_Casatti	2	17	0	54.55	45.45	0	0	0	0
Lilian_Casatti	2	18	0	13.51	70.27	0	0	0	16.22
Lilian_Casatti	2	19	0	0	100	0	0	0	0
Lilian_Casatti	2	20	0	24.24	75.76	0	0	0	0
Lilian_Casatti	2	21	0	18.75	81.25	0	0	0	0
Lilian_Casatti	2	22	0	58.06	41.94	0	0	0	0
Lilian_Casatti	2	23	0	21.21	78.79	0	0	0	0
Lilian_Casatti	2	24	0	25.81	74.19	0	0	0	0
Lilian_Casatti	2	25	0	100	0	0	0	0	0
Lilian_Casatti	2	26	0	53.13	25	0	0	0	0
Lilian_Casatti	2	27	0	60	40	0	0	0	0
Lilian_Casatti	2	28	0	3.03	96.97	0	0	0	0
Lilian_Casatti	2	29	0	24.24	45.45	0	0	0	0
Lilian_Casatti	2	30	0	6.06	93.94	0	0	0	0
Lilian_Casatti	2	31	0	29.41	70.59	0	0	0	0
Lilian_Casatti	2	32	0	41.18	58.82	0	0	0	0
Lilian_Casatti	2	33	0	96.77	3.23	0	0	0	0
Lilian_Casatti	2	35	0	0	100	0	0	0	0
Lilian_Casatti	3	36	0	0	100	0	0	0	0
Lilian_Casatti	3	37	0	0	44.12	0	0	0	0
Lilian_Casatti	3	38	0	0	64.1	0	0	0	17.95
