Autor	Drenagem	Ponto	SILVI%	AGRI%	Pastagem%	INFURB%	MINE%	AGUA%	RODO%
Lilian_Casatti	2	1	2.67	23.09	64.05	0	0	0	5.19
Lilian_Casatti	2	2	0	15.91	79.74	0	0	0	4.02
Lilian_Casatti	2	3	0	4.4	95.6	0	0	0	0
Lilian_Casatti	2	4	0	18.77	70.83	0	0	0.93	0
Lilian_Casatti	2	5	0	6.79	87.54	2.45	0	0	2.1
Lilian_Casatti	2	6	0	13.97	75.8	0	0	0	4.57
Lilian_Casatti	2	7	0	7.71	86.05	1.13	0	0	4.23
Lilian_Casatti	2	8	0	21	72.55	0	0	0	4.63
Lilian_Casatti	2	9	0	50.05	47.83	0	0	0	0.31
Lilian_Casatti	2	10	0	3.2	94.89	0	0	0	1.62
Lilian_Casatti	2	12	0	12.49	85.73	0	0	0.34	0.93
Lilian_Casatti	2	13	0	31.44	60.1	0	0	0	1.78
Lilian_Casatti	2	14	1.91	21.67	72.76	0	0	0	0.31
Lilian_Casatti	2	15	0	18.19	60.41	18.03	0	0	3
Lilian_Casatti	2	16	0	55	40.41	0	0	0	0
Lilian_Casatti	2	17	0	24.49	66.4	0	0	0.55	0.54
Lilian_Casatti	2	18	0	52.06	34.4	0.52	0	0.12	1.41
Lilian_Casatti	2	19	0	18.55	77.75	0	0	0.19	1.41
Lilian_Casatti	2	20	0	29.13	66.33	0	0	0	2.44
Lilian_Casatti	2	21	0	18.94	76.61	0	0	0	3.55
Lilian_Casatti	2	22	0	1.89	83.53	0	0	0	2.97
Lilian_Casatti	2	23	0	73.72	21.49	0	0	0	2.85
Lilian_Casatti	2	24	0	17.66	78.67	0	0	0.19	3.21
Lilian_Casatti	2	25	0	15.65	79.09	0.01	0	0.12	4.06
Lilian_Casatti	2	26	0	76.15	15.66	0	0	0	3.19
Lilian_Casatti	2	27	0	18.73	75.88	0	0	0	3.19
Lilian_Casatti	2	28	0	15.94	57.9	0	0	0.24	1.15
Lilian_Casatti	2	29	0	30.89	64.69	0	0	0	4.08
Lilian_Casatti	2	30	0	8.71	84.36	0	0	0	0.89
Lilian_Casatti	2	31	0	8.86	71.82	0	0	0	1.57
Lilian_Casatti	2	32	0	0.81	82.51	0	0	0	0
Lilian_Casatti	2	33	0	35.39	59.15	0	0	0	4.2
Lilian_Casatti	2	35	0	0	93.29	0	0	0	5.31
Lilian_Casatti	3	36	0	11.78	79.81	0	0	0	4.89
Lilian_Casatti	3	37	0	20.07	78.62	0	0	0	0
Lilian_Casatti	3	38	0	21.43	67.35	0	0	0	3.61
Lilian_Casatti	3	39	0	24.12	67.78	2.74	0	0	4.21
Lilian_Casatti	3	40	0	8.09	77.01	0	0	0	0.1
Lilian_Casatti	3	41	0	46.42	45.92	0	0	0	3.12
Lilian_Casatti	3	43	0	0.69	46.18	0	0	0	2.57
Lilian_Casatti	3	44	0	14.78	80.56	0	0	0	3.98
Lilian_Casatti	3	45	0	0.64	85.81	0	0	0	2.61
Lilian_Casatti	3	46	0	34.86	60.16	0	0	0	4.54
Lilian_Casatti	3	47	0	4.42	93.57	0	0	0	0.59
Lilian_Casatti	3	48	0	11.38	68.92	0.26	0	0	1.72
Lilian_Casatti	3	49	0	10.63	75.7	0	0	0	0.98
Lilian_Casatti	3	50	0	7.72	91.05	0	0	0	0.79
Lilian_Casatti	3	51	0	30.67	65.26	0.04	0	0	1.57
Lilian_Casatti	3	52	0	11.12	81.82	0.36	0	0	1.29
Lilian_Casatti	3	53	0	0	82.53	0	0	0	2.48
Lilian_Casatti	3	54	0.13	3.39	76.32	0	0	0.05	1.3
Lilian_Casatti	3	55	0	4.17	84.72	0	0	0	11.11
Lilian_Casatti	3	56	0	24.19	75.3	0	0	0	0
Lilian_Casatti	3	57	0	27.35	60.88	0	0	0.19	0.69
Lilian_Casatti	3	58	0	14.46	80.46	0	0	0	2.55
Lilian_Casatti	3	60	0	53.15	44.28	0	0	0	0.88
Lilian_Casatti	3	61	0.17	23.96	68.8	2.3	0	0.23	2.81
Lilian_Casatti	3	62	0	12.46	77.85	0	0	0	0.82
Lilian_Casatti	3	63	0	7.66	76.88	0	0	0	2.67
Lilian_Casatti	3	64	0	1.03	80.14	0	0	0	6.8
Lilian_Casatti	3	65	0	8.27	87.53	0	0	0	1.78
Lilian_Casatti	3	66	0	12.58	66.58	0	0	0	4.44
Lilian_Casatti	3	67	0	9.45	77.08	0	0	0	2.58
Lilian_Casatti	3	69	0	13.89	75.59	1.49	0	0	3.34
Lilian_Casatti	3	70	0	9.43	82.03	3.5	0	0	1.75
Lilian_Casatti	3	71	0	16.43	75.5	0	0	0	2.29
Lilian_Casatti	3	72	0	8.31	71.83	0	0	0.31	3.28
Lilian_Casatti	3	73	0	41.26	53.1	0	0	0	1.08
Lilian_Casatti	3	74	0.08	58.36	29.21	0	0	0	4.5
Lilian_Casatti	3	75	0	13.47	51.61	0	0	0	0
Lilian_Casatti	3	76	0	5.93	75.32	0	0	0	3.08
Lilian_Casatti	3	77	0	46.93	31.88	0	0	0	2.1
Lilian_Casatti	3	78	0	48.35	47.51	0	0	0	1.16
Lilian_Casatti	3	79	0	70.58	25.21	0	0	0	1.76
Lilian_Casatti	3	80	0	45.05	49.4	0	0	0	1.05
Lilian_Casatti	3	81	0	30.88	61.11	0	0	0	1.9
Lilian_Casatti	3	82	0	11.47	86.38	0	0	0	0
Lilian_Casatti	3	83	0	8.73	71.92	14.75	0	0.45	4.05
Lilian_Casatti	3	84	0	69.75	21.73	3.99	0	0.05	3.58
Lilian_Casatti	3	85	0	23.62	69.73	0	0	1.3	1.21
Lilian_Casatti	3	86	0.11	17.4	78.82	0	0	0	2.27
Lilian_Casatti	3	87	0	9.8	85.2	0	0	0	0
Lilian_Casatti	3	88	0	93.6	3.96	0	0	0	1.93
Lilian_Casatti	3	89	0.19	65.93	27.84	0	0	0	5.09
Lilian_Casatti	3	90	0	88.36	9.07	0	0	0	2
Lilian_Casatti	3	91	0	77.05	17.12	0	0	0	1.34
Lilian_Casatti	3	92	0	93.62	3.71	0	0	0	0
Lilian_Casatti	3	93	0	85.32	10.35	1.72	0	0.2	1.12
Lilian_Casatti	3	94	0	65.15	19.23	0	0	0	3.92
Lilian_Casatti	3	95	0	91.19	2.74	0	0	0	1.47
Ricardo	6	97	0	12.13	80.84	0	0	0	0.06
Ricardo	6	98	3.72	16.75	49.7	0	0	0	0
Ricardo	6	99	4.59	24.29	55.48	0	0	0	1.79
Ricardo	6	100	0.09	58.88	36.91	0	0	0.05	0.27
Ricardo	6	101	0	7.91	82.5	0	0	0	0.2
Ricardo	6	103	0	85.82	1.99	0	0	0	1.92
Ricardo	6	104	0	83.45	10.04	0	0	0	2.52
Ricardo	6	105	0	94.47	2.1	2.87	0	0	0.3
Ricardo	6	106	17.07	2.26	65.82	0	0	0.11	0.23
Ricardo	6	107	0	36.3	61.4	0	0	0	0.38
Ricardo	6	108	0	7.07	69.02	0	0	0	5.42
Ricardo	6	109	0	0.96	47.81	0	0	0	4.27
Ricardo	6	110	0	16.88	79.35	0	0	0	0.09
Ricardo	6	111	0	3	71.55	0	0	0	8.36
Ricardo	6	112	0	3.2	85.85	0	0	0	0
Ricardo	3	113	0	30.03	67.5	0	0	0	0
Ricardo	3	114	0	21.4	70.76	0	0	0	0
Ricardo	3	115	0	91.04	7.17	0	0	0	1.33
Ricardo	3	116	0	77.41	20.86	0	0	0	1.43
Ricardo	3	117	0.33	35.21	56.13	0.31	0	0	2.55
Ricardo	3	118	0	29.65	0.37	0	0	0	0.84
Ricardo	3	119	0	17.18	61.82	0.3	0	0.46	2.12
Ricardo	3	120	0	85.84	4.45	0	0	0.98	1.76
Ricardo	3	121	0	13.04	75.17	0	0	0	3.28
Ricardo	3	122	0	68.13	14.6	0	0	1.24	1.39
Ricardo	3	123	0	68.2	13.43	0	0	0.09	1.41
Ricardo	3	124	0	7.41	55.93	0	0	0	1.75
Ricardo	3	125	0	8.3	40.86	0	0	0.03	1.7
Ricardo	3	128	0	87.68	2.91	0	0	0.16	1.02
Ricardo	3	129	0	86.62	5.72	0	0	0.5	1.25
Ricardo	5	130	0	10.42	66.21	0	0	0	2.23
Ricardo	5	131	0.31	19.74	47.49	0.25	0	0	0.56
Ricardo	5	132	0	1.67	93.3	0	0	0	2.95
Ricardo	5	133	0	33.64	55.13	0	0	0	4.05
Ricardo	5	134	0	5.71	92.66	0	0	0	1.04
Ricardo	5	135	0	7.08	82.25	0	0	0.03	0.11
Ricardo	5	136	0	0	96.94	0	0	0	3.06
Ricardo	5	138	0	12.88	85.47	0	0	0	0
Ricardo	4	140	0	16.53	76.78	0	0	0.17	1.28
Ricardo	4	141	0	0.32	92.94	0	0	2.27	4.46
Ricardo	4	142	0	22.48	59.35	12.87	0	0	3.17
Ricardo	4	143	0	2.34	94.39	0	0	0	1.87
Ricardo	4	144	0	5.36	90.21	0	0	0.16	1.14
Ricardo	2	145	0	17.9	74.07	0	0	0	1.79
Ricardo	2	146	0	16.61	77.33	0	0	0	4.04
Ricardo	2	147	0.04	37.03	52.32	0.75	0	0	2.58
Ricardo	2	148	0	24.67	69.49	0	0	0	5.84
Ricardo	2	149	0	65.73	12.17	0	0	0.07	1.08
Tejerina-Garro	1	150	0	4.42	79.73	0	0	0.02	0.73
Tejerina-Garro	1	151	0	0.65	65.32	0	0	0	0.28
Tejerina-Garro	1	152	0	15.97	62.51	0	0	0	0
Tejerina-Garro	1	154	0	1.3	68.47	0	0	0.07	1.09
Tejerina-Garro	1	155	0	21.13	56.76	0	0	0	1.86
Tejerina-Garro	1	156	0	3.12	68.28	0	0	0	0
Tejerina-Garro	1	157	0	0	56.57	0	0	0	1.41
Tejerina-Garro	1	159	0	5.85	79.99	0	0	0	2.09
Tejerina-Garro	1	160	0	1.98	77.61	0.33	0	0.05	0.78
Tejerina-Garro	1	163	0	45.46	37.27	0	0	0.24	0.95
Tejerina-Garro	1	168	0	38.42	23.45	27.43	0	0	2.45
Tejerina-Garro	1	169	0	45.94	34.82	0	0	0	5.26
Tejerina-Garro	1	170	0	0	46.15	0	0	0	2.48
Tejerina-Garro	1	171	0	4.06	73.36	0	0	0	1.85
Tejerina-Garro	1	172	0	6.82	70.73	0	0	0	3.02
Tejerina-Garro	1	173	0	13.54	68.78	0	0	0	4.36
Tejerina-Garro	1	174	0	22.33	44.54	0	0	0.71	1.51
Tejerina-Garro	1	175	0	33.19	55.93	0	0	2.23	1.37
Tejerina-Garro	1	176	0	0.36	46.62	0	0	0.13	1.3
Tejerina-Garro	1	177	0	0	57.48	0	0	0.32	2.48
Tejerina-Garro	1	178	0	0	25.56	0	0	0.11	0
Tejerina-Garro	1	179	0	0.81	70.94	0	0	0.11	2.17
Tejerina-Garro	1	180	0	0	44.27	0	0	0	0.94
Tejerina-Garro	1	181	0	3.32	59.43	0	0	0.21	4.15
Tejerina-Garro	1	184	0	0.18	51.06	0	0	0	1.62
Tejerina-Garro	1	185	0	1.01	33.32	0	0	0	0
Tejerina-Garro	1	186	0	0.2	40.91	0.53	0	0.06	0.37
Tejerina-Garro	1	187	0	0	41.03	0	0	0	0
Tejerina-Garro	1	188	0	0	22.91	0	0	0.77	0
Tejerina-Garro	1	191	0	0.36	43.23	15.28	0	0.08	1.85
Tejerina-Garro	1	193	0	0	100	0	0	0	0
Tejerina-Garro	1	194	0	0.79	63.52	0	0	0	1.01
Tejerina-Garro	1	195	0	1.89	59.25	0	0	0.14	0
Tejerina-Garro	1	198	0	0	9.15	0	0	0	2.7
Tejerina-Garro	1	199	0	0.59	45.3	2.82	0	0.21	0.45
Tejerina-Garro	1	200	0.05	2.33	62.53	0	0	0.03	1.62
Tejerina-Garro	1	202	0	69.76	23.63	0	0	0.11	0.93
Tejerina-Garro	1	203	0	0.6	71.73	0	0	0	0.55
Tejerina-Garro	1	205	0	0.55	58.38	0.44	0	0.14	2.2
Tejerina-Garro	1	206	0	8.33	23.33	0	0	0	0
Tejerina-Garro	1	207	0	0.77	62.2	0.91	0	0.02	1.14
Tejerina-Garro	1	209	0	21.24	50.95	0	0	0.05	1.25
Tejerina-Garro	1	210	0	0.98	64.92	0.04	0	0.23	1.72
Tejerina-Garro	1	211	0	2.13	71.78	0	0	0	0
Tejerina-Garro	1	212	0	0.96	59.83	0	0	0.04	1.41
Tejerina-Garro	1	213	0	1.07	54.67	0	0	0	1.87
Tejerina-Garro	1	214	0	1.23	76.94	0.28	0	0.01	1.34
Tejerina-Garro	1	215	0	6.93	75.61	0	0	0	3.01
Tejerina-Garro	1	216	0	0	55.92	0	0	0	0
Tejerina-Garro	1	217	0.77	40.48	24.57	0	0	0	1.71
Tejerina-Garro	1	218	0	77.87	8.82	0	0	0	1.79
Tejerina-Garro	1	221	0	17.62	56.61	0	0	0	1.54
Tejerina-Garro	1	224	0.48	63.28	19.43	0.75	0	0.8	1.37
Tejerina-Garro	1	225	1.4	62.45	16.37	0	0	0.59	0.65
Tejerina-Garro	1	226	0	76.06	9.55	0	0	0	1.53
Tejerina-Garro	1	228	0	92.1	2.74	0	0	0.11	1.2
Tejerina-Garro	1	232	0	92.95	0	0	0	0	0.13
Tejerina-Garro	1	233	0	13.08	84.23	0	0	0	0
Tejerina-Garro	1	235	0	0.46	70.88	0	0	0	0
Tejerina-Garro	1	236	0	30.82	50.57	0	0	0	0.33
Tejerina-Garro	1	237	16.45	5.87	43.38	0.38	0	2.19	0.62
Tejerina-Garro	1	238	2.71	2.71	57.39	1.89	0	0.22	1.85
Mauricio	6	244	56.85	0.86	0.54	0	0	0	0.08
Mauricio	6	245	26.89	0.89	2.63	0	0	0	0
Mauricio	6	246	35.36	6.67	25.73	0	0	0	1.71
Mauricio	6	248	49.24	2.44	1.4	0	0	0	2.04
Mauricio	6	249	61.04	19.17	1.32	0	0	0	0
Mauricio	6	250	0	0.86	0	0	0	0	0
Mauricio	6	251	6.54	2.8	0.74	0	0	0	0
Mauricio	6	252	0	0	0	0	0	0	0
Mauricio	6	253	0.07	0.28	0.04	0	0	0	0.39
Mauricio	6	254	10.93	10.57	8.46	0	0	0.14	0.92
Mauricio	6	255	25.73	15.93	18.93	0	0	0.19	0.94
Mauricio	6	256	38.03	15.79	9.51	0.5	0	0.07	3.24
Mauricio	6	257	63.62	18.83	1.01	0	0	0.14	1.44
Mauricio	6	258	63.89	10.56	2.85	0	0	0	1.02
Mauricio	6	259	7.18	79.97	6.7	0	0	0.14	1.89
Mauricio	6	260	80.17	4.45	3.26	0	0	0	2.25
Mauricio	6	263	24.09	7.22	2.02	0	0.07	0.03	0
Mauricio	6	264	5.75	5.88	2.01	0	0	0.62	0.66
Mauricio	6	265	29.15	9.17	2.2	0	0	0.37	0.05
Mauricio	6	266	0	1.31	0	0	0	0	0.68
Flona	1	268	0	48.42	28.49	0	0	0.45	2.71
Flona	1	269	9.41	60.48	13.18	0	0	0	1.75
Flona	1	270	3.43	42.69	25.8	5.17	0	0	3.05
Flona	1	271	0.64	38.65	21.83	13.57	0	0.05	1.12
Flona	1	274	0	52.97	13.99	0	0	0.26	1.38
Flona	1	278	0.15	48.3	23.11	0	0	0.13	0.96
Flona	1	283	0.71	43.54	30.69	0	0	0.05	0
Evanilde	6	284	22.54	27.35	30.42	0	0	0	0
Evanilde	7	285	0	77.71	17.22	0	0	0	0
Evanilde	7	286	0	30.52	61.34	3.5	0	0	0
Evanilde	7	287	0	50.16	39.51	0	0	0	0.64
Evanilde	7	288	0	36.18	44.87	0	0	0	0
Evanilde	7	289	9.26	5.18	56.51	0	0	0	2.12
Evanilde	7	290	0.62	13.76	46.61	28.83	0	0	1.94
Evanilde	7	291	0	90.79	3.62	1.01	0	0	3.43
Evanilde	6	292	0	68.96	6.29	19.8	0	0	3.53
Evanilde	6	293	0	32.78	54.77	0	0	0	1.27
Evanilde	7	294	0	92.52	0.96	0	0	0	3.2
Evanilde	7	295	0.07	61.11	25.36	0	0	0.22	0
Evanilde	7	296	0	73.41	17.65	0	0	0	2.75
Evanilde	7	297	0	20.2	45.73	0	0	0	1.64
Evanilde	7	298	0	7.42	52.34	0	0	0	0.9
Evanilde	7	299	0	7.79	65.99	14.55	0	0	1.89
Evanilde	6	300	0	3.54	3.77	87.55	0	0	3.47
Evanilde	6	301	0	6.32	42.7	0	0	0	1.78
Evanilde	6	302	0	57.73	5.37	0	0	0	0
Evanilde	6	303	0	72.74	0.52	0	0	0	1.1
Evanilde	7	304	0	87.99	11.76	0	0	0	0
Evanilde	7	305	0	8.34	47.22	0	0	0	0
Evanilde	6	306	0	4.69	65.56	0	0	0	0
Evanilde	6	307	0	4.95	38.4	0	0	0	4.16
Evanilde	7	308	0	0.55	78.51	0	0	0	0.34
