Autor	Drenagem	Ponto	SILVI%	AGRI%	Pastagem%	INFURB%	MINE%	AGUA%	RODO%
Lilian_Casatti	2	1	0	29.47	49.94	0	0	11.22	0.99
Lilian_Casatti	2	2	0	26.71	65.07	0	0	0	0
Lilian_Casatti	2	3	0	9.93	71.28	0	0	0	0
Lilian_Casatti	2	4	0	0	96.08	0	0	0	0
Lilian_Casatti	2	5	0	36.79	40.54	0	0	0	4.82
Lilian_Casatti	2	6	0	22.89	65.03	0	0	0	1.28
Lilian_Casatti	2	7	0	1.11	79.64	0	0	0	8.52
Lilian_Casatti	2	8	0	2.86	77.86	0	0	0	2.19
Lilian_Casatti	2	9	0	14.29	83.79	0	0	0	0
Lilian_Casatti	2	10	0	18.69	71.66	0	0	0	0
Lilian_Casatti	2	12	0	19.34	71.19	0	0	0	0
Lilian_Casatti	2	13	0	3.71	61.82	0	0	0	0
Lilian_Casatti	2	14	0	0	100	0	0	0	0
Lilian_Casatti	2	15	0	24.55	34.83	0	0	0	0.28
Lilian_Casatti	2	16	0	33.47	60.77	0	0	0	2.88
Lilian_Casatti	2	17	0	70.69	20.96	0	0	0	6.57
Lilian_Casatti	2	18	0	38.81	59.95	0	0	0	0
Lilian_Casatti	2	19	0	3.87	96.13	0	0	0	0
Lilian_Casatti	2	20	0	27.76	57.03	0	0	0	15.21
Lilian_Casatti	2	21	0	18.03	80.46	0	0	0	0
Lilian_Casatti	2	22	0	21.21	76.43	0	0	0	0
Lilian_Casatti	2	23	0	18.7	77.29	0	0	0.76	0
Lilian_Casatti	2	24	0	18.18	78.27	0	0	0	0.89
Lilian_Casatti	2	25	0	74.64	21.37	0	0	0.43	1.71
Lilian_Casatti	2	26	0	33.51	60.9	0	0	0	0
Lilian_Casatti	2	27	0	50.75	26.87	0	0	0	0
Lilian_Casatti	2	28	0	20	71.85	0	0	0	8.15
Lilian_Casatti	2	29	0	6.81	90.77	0	0	0	0
Lilian_Casatti	2	30	0	29.1	64.09	0	0	0	2.77
Lilian_Casatti	2	31	0	58.46	37.69	0	0	0	3.85
Lilian_Casatti	2	32	0	19.62	76.56	0	0	0	3.65
Lilian_Casatti	2	33	0	43.64	55.15	0	0	0	0
Lilian_Casatti	2	35	0	24.88	63.38	0	0	0	7.98
Lilian_Casatti	3	36	0	0	100	0	0	0	0
Lilian_Casatti	3	37	0	0	58.97	0	0	0	0
Lilian_Casatti	3	38	0	0	82.02	0	0	0	3.93
Lilian_Casatti	3	39	0	27.01	44.08	0	0	1.9	1.9
Lilian_Casatti	3	40	0	31.88	68.12	0	0	0	0
Lilian_Casatti	3	41	0	60.77	35.41	0	0	0	0.84
Lilian_Casatti	3	43	0	22.07	60.34	0	0	0	5.17
Lilian_Casatti	3	44	0	24.04	70.77	0	0	1.17	2.6
Lilian_Casatti	3	45	0	59.9	22.25	0	0	0.65	1.12
Lilian_Casatti	3	46	0	40.95	59.05	0	0	0	0
Lilian_Casatti	3	47	0	25.92	68.39	0	0	2.34	0
Lilian_Casatti	3	48	0	55.22	36.57	0	0	0	5.22
Lilian_Casatti	3	49	0	34.88	64.16	0	0	0	0.96
Lilian_Casatti	3	50	0	37.32	46.41	0	0	0	9.09
Lilian_Casatti	3	51	0	14.1	85.9	0	0	0	0
Lilian_Casatti	3	52	0	0	100	0	0	0	0
Lilian_Casatti	3	53	0	13.88	83.41	0	0	0	0.68
Lilian_Casatti	3	54	0	13.1	78.62	0	0	0	8.28
Lilian_Casatti	3	55	0	22.16	74.66	0	0	0	1.27
Lilian_Casatti	3	56	0	27.67	60.13	0	0	0	1.54
Lilian_Casatti	3	57	0	3.18	68.39	0	0	0	0.61
Lilian_Casatti	3	58	0	7.78	67.57	0	0	1.41	0.76
Lilian_Casatti	3	60	0	1	47.68	0	0	0	0
Lilian_Casatti	3	61	0	54.91	25.24	0	0	0	0.76
Lilian_Casatti	3	62	0	54.93	39.44	0	0	0	2.25
Lilian_Casatti	3	63	0	1.29	97.05	0	0	0	1.66
Lilian_Casatti	3	64	0	22.82	77.18	0	0	0	0
Lilian_Casatti	3	65	0	19.21	77.25	0	0	0.27	3.27
Lilian_Casatti	3	66	0	0	86.94	0	0	0	0.99
Lilian_Casatti	3	67	0	21.62	45.95	0	0	0	18.92
Lilian_Casatti	3	69	0	0	93	0	0	0	3.7
Lilian_Casatti	3	70	0	4.4	86.16	0	0	0	6.92
Lilian_Casatti	3	71	0	16.3	66.97	0	0	0	0.22
Lilian_Casatti	3	72	0	12.1	58.04	0	0	2.57	1.05
Lilian_Casatti	3	73	0	0	85.83	0	0	0	4.42
Lilian_Casatti	3	74	0	29.33	54.67	0	0	0	1.33
Lilian_Casatti	3	75	0	8.02	83.59	0	0	0	0
Lilian_Casatti	3	76	0	1.63	45.66	0	0	0	2.71
Lilian_Casatti	3	77	0	31.11	60.15	0	0	0	0
Lilian_Casatti	3	78	0	19.96	66.31	0	0	0	0
Lilian_Casatti	3	79	0	34.02	27.3	0	0	0	1.72
Lilian_Casatti	3	80	0	11.49	68.93	0	0	0	2.09
Lilian_Casatti	3	81	0	28.94	59.95	5.79	0	0.69	4.63
Lilian_Casatti	3	82	0	14.37	77.13	0	0	0	0
Lilian_Casatti	3	83	0	49.26	45.7	0	0	0	5.04
Lilian_Casatti	3	84	0	24.62	75.08	0	0	0	0
Lilian_Casatti	3	85	0	39.6	55.45	0	0	0	4.95
Lilian_Casatti	3	86	0	75.14	19.97	0	0	0	2.09
Lilian_Casatti	3	87	0	62.01	32.26	0	0	0	3.03
Lilian_Casatti	3	88	0	7.16	56.39	0	0	0.41	0.77
Lilian_Casatti	3	89	0	57.18	31.34	0	0	0	0
Lilian_Casatti	3	90	0	44.07	30.88	0	0	0	3.01
Lilian_Casatti	3	91	0	71.32	2.71	0	0	0	1.55
Lilian_Casatti	3	92	0	82.26	6.41	0	0	0	0
Lilian_Casatti	3	93	0	80.01	13.45	0	0	0.36	1.45
Lilian_Casatti	3	94	0	3.55	91.88	0	0	0	0
Lilian_Casatti	3	95	0	7.9	29.34	0	0	0	0
Ricardo	6	97	2.83	12.13	68.73	0	0	0	1.48
Ricardo	6	98	0	36.1	59.46	0	0	0.38	0
Ricardo	6	99	0	14.89	75.37	0	0	0	0
Ricardo	6	100	0	61.01	30.19	0.2	0	1.4	0.54
Ricardo	6	101	0	66.58	12.77	0	0	0	0
Ricardo	6	103	0	94.25	5.75	0	0	0	0
Ricardo	6	104	9.23	1.28	67.44	0	0	0.7	0.1
Ricardo	6	105	0	30.54	62.95	0	0	0	0
Ricardo	6	106	0	7.14	19.23	0	0	0	0
Ricardo	6	107	0	1.03	49.89	0	0	0	1.03
Ricardo	6	108	0	16.85	78.79	0	0	0	1.83
Ricardo	6	109	0	7.4	72.69	0	0	0	1.85
Ricardo	6	110	0	3.35	71.99	0	0	0	0.87
Ricardo	6	111	0	49.28	43.76	0	0	0	0
Ricardo	6	112	0	43.12	51.45	0	0	0	0
Ricardo	3	113	0	92.31	2.96	0	0	0	0
Ricardo	3	114	0	98.83	0	0	0	0	0
Ricardo	3	115	0	32.03	49.4	0	0	0	3.04
Ricardo	3	116	0	0.84	2.32	0	0	0	0
Ricardo	3	117	0	2.96	36.89	0	0	1.04	0
Ricardo	3	118	0	55.98	12.2	0	0	4.27	1.29
Ricardo	3	119	0	0.68	80.62	0	0	0	2.62
Ricardo	3	120	0	34.76	21.78	0	0	5.15	0.66
Ricardo	3	121	0	45.83	19.22	0	0	0.4	1.11
Ricardo	3	122	0	5.21	34.2	0	0	0	0
Ricardo	3	123	0	9.5	46.96	0	0	0.26	2.06
Ricardo	3	124	0	42.86	16.09	0	0	0	0.96
Ricardo	3	125	0	63.18	11.46	0	0	0	0.9
Ricardo	3	128	0	11.78	79.89	0	0	0	1.81
Ricardo	3	129	0.11	38.03	34.34	0	0	0	0
Ricardo	5	130	0	9.15	80.53	0	0	0	0
Ricardo	5	131	0	47.24	51.76	0	0	0	0
Ricardo	5	132	0	18.7	79.88	0	0	0	0.43
Ricardo	5	133	0	4	77.79	0	0	0.23	0
Ricardo	5	134	0	0	100	0	0	0	0
Ricardo	5	135	0	25.03	53.43	0	0	1.54	5.03
Ricardo	5	136	0	28.17	71.48	0	0	0	0
Ricardo	5	138	0	23.92	56.35	0	0	0	0.76
Ricardo	4	140	0	39.38	46.76	0	0	0	2.85
Ricardo	4	141	0	10.8	81.21	0	0	0	1.12
Ricardo	4	142	0	9.52	85.3	0	0	0.23	0
Ricardo	4	143	0	3.4	80.4	0	0	0	2.2
Ricardo	4	144	0	0	95.77	0	0	0	0
Ricardo	2	145	0	44.15	39.33	0	0	0	1.83
Ricardo	2	146	0	44.99	50.12	0	0	0	4.9
Ricardo	2	147	0	56.19	5.28	0	0	0	0.61
Ricardo	2	148	0	2.39	15.52	0	0	0	80.3
Ricardo	2	149	0	0	49.21	0	0	0	22.22
Tejerina-Garro	1	150	0	0	33.9	0	0	0	0
Tejerina-Garro	1	151	0	0	71.67	0	0	0	10
Tejerina-Garro	1	152	0	0	64.44	0	0	0	11.11
Tejerina-Garro	1	154	0	0	100	0	0	0	0
Tejerina-Garro	1	155	0	0	100	0	0	0	0
Tejerina-Garro	1	156	0	0	44.16	0	0	0	0
Tejerina-Garro	1	157	0	9.43	32.08	0	0	0	0
Tejerina-Garro	1	159	0	35.48	64.52	0	0	0	0
Tejerina-Garro	1	160	0	0	63.64	0	0	0	31.82
Tejerina-Garro	1	163	0	1.83	70.46	0	0	0.28	0
Tejerina-Garro	1	168	0	33.12	33.19	0	0	3.01	0
Tejerina-Garro	1	169	0	3.14	73.95	0	0	1.39	0
Tejerina-Garro	1	170	0	27.06	41.6	0	0	0.84	0
Tejerina-Garro	1	171	0	17.94	46.94	0	0	1.92	0
Tejerina-Garro	1	172	0	0	73.05	0	0	0.14	0.56
Tejerina-Garro	1	173	0	0.69	73.46	0	0	0	0
Tejerina-Garro	1	174	0	0.14	69.06	0	0	0	0.2
Tejerina-Garro	1	175	0	0	55	0	0	0	0
Tejerina-Garro	1	176	0	4.84	46.37	0	0	0	0
Tejerina-Garro	1	177	0	0	77.33	0	0	0	0
Tejerina-Garro	1	178	0	3.31	63.2	0	0	1.69	0
Tejerina-Garro	1	179	0	0	70.35	0	0	0	0
Tejerina-Garro	1	180	0	0	76.47	0	0	0	0.23
Tejerina-Garro	1	181	0	0	81.23	0	0	0.11	0.99
Tejerina-Garro	1	184	0	1.35	30.02	0	0	1.45	0
Tejerina-Garro	1	185	0	2.29	44.71	0	0	1.32	0
Tejerina-Garro	1	186	0	0	68.83	0	0	0	0
Tejerina-Garro	1	187	0	0	31.01	0	0	0	1.29
Tejerina-Garro	1	188	0	0	39.34	0	0	0	4.92
Tejerina-Garro	1	191	0	0	36.01	0	0	0	1.36
Tejerina-Garro	1	193	0	0	67.09	0	0	0	0
Tejerina-Garro	1	194	0	0	65.2	0	0	0	0
Tejerina-Garro	1	195	0	0	44.8	0	0	0	3.6
Tejerina-Garro	1	198	0	5.53	47.55	0	0	0	8.56
Tejerina-Garro	1	199	0	0	18.74	0	0	0.9	0
