"beta"	"R2"	"P-value"
"IBI_env"	-0.13	0.018	0.128
"Ab_BL"	-0.06	0	0.521
"Ab_Body_elong"	0.22	0.05	0.013
"Ab_rel_Siluriformes"	-0.02	0	0.862
"Ab_Rel_eye"	0.11	0.01	0.2
"Ab_rel_Characidae"	0.22	0.05	0.011
"Ab_Area.caud"	0.22	0.05	0.012
"Ab_Area_pec"	0.24	0.06	0.005
"Ab_rel_Characiformes"	0.21	0.04	0.017
"Ab_rel_onivoro"	0	0	0.961
"Riq_invertivoro"	0.12	0.01	0.187
"Riq_rel_onivoro"	-0.12	0.02	0.164
"Riq_rel_invertivoro"	0.07	0	0.425
"Riq_Characiformes"	0.29	0.08	0.001
"Riq_rel_Characiformes"	0.33	0.11	0
"Riq_rel_Siluriformes"	0.1	0.01	0.265
"Riq_Poeciliidae"	0.06	0	0.526
"Riq_Cicliformes"	0.15	0.02	0.094
"Riq_rel_Callichthyidae"	0.24	0.06	0.006
"Riq_rel_Heptapteridae"	-0.07	0.01	0.406
"Riq_rel_Loricariidae"	0.16	0.02	0.078
"Ab_total_especies"	-0.07	0.01	0.404
"Ab_rel_Callichthyidae"	0.23	0.05	0.009
"Ab_rel_Heptapteridae"	0.04	0	0.668
