"beta"	"R2"	"P-value"
"IBI_euc"	-0.04	0.001	0.685
"Ab_BL"	-0.2	0.04	0.022
"Ab_Body_elong"	0.27	0.07	0.002
"Ab_rel_Siluriformes"	0.01	0	0.894
"Ab_Rel_eye"	0.13	0.02	0.132
"Ab_rel_Characidae"	0.31	0.1	0
"Ab_Area.caud"	0.36	0.13	0
"Ab_Area_pec"	0.26	0.07	0.003
"Ab_rel_Characiformes"	0.28	0.08	0.001
"Ab_rel_onivoro"	0.12	0.01	0.19
"Riq_invertivoro"	0.27	0.07	0.002
"Riq_rel_onivoro"	-0.03	0	0.772
"Riq_rel_invertivoro"	0.32	0.1	0
"Riq_Characiformes"	0.42	0.18	0
"Riq_rel_Characiformes"	0.47	0.22	0
"Riq_rel_Siluriformes"	0.13	0.02	0.151
"Riq_Poeciliidae"	0.04	0	0.622
"Riq_Cicliformes"	0.1	0.01	0.246
"Riq_rel_Callichthyidae"	0.37	0.14	0
"Riq_rel_Heptapteridae"	-0.15	0.02	0.094
"Riq_rel_Loricariidae"	0.31	0.1	0
"Ab_total_especies"	-0.03	0	0.767
"Ab_rel_Callichthyidae"	0.37	0.13	0
"Ab_rel_Heptapteridae"	0.08	0.01	0.341
