"beta"	"R2"	"P-value"
"IBI_wc"	-0.02	0	0.833
"Ab_BL"	-0.24	0.06	0.006
"Ab_Body_elong"	0.39	0.15	0
"Ab_rel_Siluriformes"	0	0	0.988
"Ab_Rel_eye"	0.16	0.02	0.078
"Ab_rel_Characidae"	0.39	0.16	0
"Ab_Area.caud"	0.36	0.13	0
"Ab_Area_pec"	0.23	0.05	0.009
"Ab_rel_Characiformes"	0.35	0.13	0
"Ab_rel_onivoro"	-0.01	0	0.866
"Riq_invertivoro"	0.27	0.08	0.002
"Riq_rel_onivoro"	-0.06	0	0.496
"Riq_rel_invertivoro"	0.31	0.1	0
"Riq_Characiformes"	0.4	0.16	0
"Riq_rel_Characiformes"	0.43	0.18	0
"Riq_rel_Siluriformes"	0.17	0.03	0.048
"Riq_Poeciliidae"	0.01	0	0.939
"Riq_Cicliformes"	0.05	0	0.577
"Riq_rel_Callichthyidae"	0.4	0.16	0
"Riq_rel_Heptapteridae"	-0.05	0	0.56
"Riq_rel_Loricariidae"	0.33	0.11	0
"Ab_total_especies"	-0.06	0	0.53
"Ab_rel_Callichthyidae"	0.38	0.14	0
"Ab_rel_Heptapteridae"	0.15	0.02	0.08
