Ponto	Drenagem	temperatura_media_anual	Sazonalidade_da_Temperatura	Faixa_anual_da_temperatura	Precipitacao_anual_mm	precipitacao_do_mes_mais_chuvoso	Sazonalidade_da_Precipitacao	Altitude_1km_media_SRTM	Declividade_1km_graus_SRTM	Solo	Vegetacao
1	2	232.9452362	1861	152	1209	217	69	499.980011	3.992983818	34	Floresta _Estacional_Semidecidual
2	2	231.611908	1857	152	1262	230	70	524.3800049	3.105315447	34	Floresta _Estacional_Semidecidual
3	2	233.1476135	1850	152	1196	217	69	502.6000061	3.268120527	34	Floresta _Estacional_Semidecidual
4	2	232.8214264	1826	152	1267	238	71	508.769989	3.522675514	34	Contato
5	2	235.3452301	1858	152	1412	255	68	464.9400024	2.816558361	34	Floresta _Estacional_Semidecidual
6	2	234.6618958	1855	152	1472	269	70	462.8500061	3.298463106	34	Floresta _Estacional_Semidecidual
7	2	236.7904663	1842	152	1355	251	70	449.519989	3.097572803	34	Contato
8	2	237.019043	1843	152	1395	261	70	449.4200134	2.688434839	34	Contato
9	2	237.1642914	1828	152	1275	224	65	434.3099976	2.802062511	34	Contato
10	2	235.9404755	1859	153	1426	266	70	462.7399902	3.151883125	34	Floresta _Estacional_Semidecidual
12	2	236.6476288	1861	153	1382	246	67	453.3699951	3.166442871	34	Floresta _Estacional_Semidecidual
13	2	238.5762024	1860	153	1260	226	67	422.5799866	2.768959045	34	Contato
14	2	235.4523926	1815	152	1197	222	69	477.519989	2.212769985	34	Contato
15	2	240.3166504	1832	153	1144	202	66	388.8099976	2.859324217	34	Floresta _Estacional_Semidecidual
16	2	241.6952515	1830	153	1116	195	65	381.8800049	3.104845047	34	Floresta _Estacional_Semidecidual
17	2	238.1809692	1808	153	1141	202	66	449.4100037	3.058110476	34	Floresta _Estacional_Semidecidual
18	2	238.361908	1811	153	1159	200	64	442.4400024	2.722975731	34	Floresta _Estacional_Semidecidual
19	2	240.5333252	1828	153	1214	202	62	411.1700134	2.889025211	34	Floresta _Estacional_Semidecidual
20	2	241.0404816	1845	153	1385	225	61	397.8999939	2.738584042	34	Floresta _Estacional_Semidecidual
21	2	240.3143005	1849	153	1323	242	70	399.1000061	2.494913816	34	Floresta _Estacional_Semidecidual
22	2	239.269043	1867	153	1252	223	67	410.2099915	3.277053833	34	Floresta _Estacional_Semidecidual
23	2	235.6928711	1872	153	1492	268	68	465.9400024	3.045824051	34	Floresta _Estacional_Semidecidual
24	2	241.911911	1873	154	1185	207	65	380.7999878	2.981369495	34	Contato
25	2	242.4547577	1880	154	1282	234	68	368.8599854	2.738720655	41	Contato
26	2	243.9761963	1876	154	1268	215	60	356.4299927	2.160968065	34	Floresta _Estacional_Semidecidual
27	2	242.3500061	1835	154	1131	190	62	382.8299866	2.948535681	34	Floresta _Estacional_Semidecidual
28	2	241.2380981	1843	153	1329	222	63	402.1000061	2.769895315	34	Floresta _Estacional_Semidecidual
29	2	243.0904846	1851	154	1122	196	65	360.9200134	2.572446108	34	Floresta _Estacional_Semidecidual
30	2	240.2095184	1825	154	1116	194	64	423.0499878	2.595382214	41	Floresta _Estacional_Semidecidual
31	2	241.1357117	1833	154	1196	210	63	406.6000061	2.701445818	34	Floresta _Estacional_Semidecidual
32	2	241.7809448	1844	154	1278	238	69	373.8399963	2.373298407	41	Floresta _Estacional_Semidecidual
33	2	241.5738068	1852	154	1305	233	64	408.3500061	2.554889202	34	Floresta _Estacional_Semidecidual
35	2	242.4142761	1812	154	1260	227	65	401.3299866	2.784811974	34	Floresta _Estacional_Semidecidual
36	3	239.0380859	1777	152	1139	220	72	459.9200134	2.917722464	34	Contato
37	3	239.0071411	1760	152	1181	223	70	445.8900146	3.100548267	34	Floresta _Estacional_Semidecidual
38	3	236.6047668	1801	152	1440	274	71	473.1099854	3.573403358	34	Contato
39	3	237.5333405	1786	152	1420	263	70	460.5100098	2.571262836	34	Floresta _Estacional_Semidecidual
40	3	235.9142914	1765	152	1502	266	68	497.8299866	2.205183983	34	Floresta _Estacional_Semidecidual
41	3	239.6714478	1758	152	1265	238	73	437.2600098	3.012818336	34	Floresta _Estacional_Semidecidual
43	3	240.7857056	1757	153	1308	232	70	433.1099854	1.769741535	34	Floresta _Estacional_Semidecidual
44	3	237.0999908	1804	153	1323	228	66	481.9100037	2.568915844	34	Floresta _Estacional_Semidecidual
45	3	239.1595306	1788	153	1221	208	66	446.6000061	2.724896908	34	Floresta _Estacional_Semidecidual
46	3	238.0476227	1792	153	1208	214	67	460.0400085	2.193252325	34	Floresta _Estacional_Semidecidual
47	3	238.6666718	1786	153	1247	230	70	457.3399963	2.921964169	34	Floresta _Estacional_Semidecidual
48	3	239.892868	1782	153	1156	205	68	426.25	1.849244833	34	Floresta _Estacional_Semidecidual
49	3	238.8714294	1815	154	1281	238	69	447.7399902	2.403031826	34	Floresta _Estacional_Semidecidual
50	3	240.6071472	1807	154	1187	219	68	423.3500061	2.975428104	34	Floresta _Estacional_Semidecidual
51	3	241.4761963	1804	154	1280	222	64	413.5899963	3.102312803	34	Floresta _Estacional_Semidecidual
52	3	242.25	1792	154	1331	229	64	394.8399963	2.620573759	34	Floresta _Estacional_Semidecidual
53	3	241.6904907	1774	154	1261	231	69	393.3099976	2.69543457	41	Floresta _Estacional_Semidecidual
54	3	243.1118927	1808	154	1137	208	67	392.7200012	2.777826786	48	Floresta _Estacional_Semidecidual
55	3	243.75	1808	154	1195	219	67	379.6199951	2.45617485	55	Floresta _Estacional_Semidecidual
56	3	244.3166809	1805	154	1388	261	69	374.8900146	2.516842365	34	Floresta _Estacional_Semidecidual
57	3	241.6880951	1740	152	1342	254	72	406.480011	2.683236361	34	Floresta _Estacional_Semidecidual
58	3	239.8261871	1751	152	1279	248	73	427.8900146	2.787058353	34	Contato
60	3	236.0619202	1770	152	1414	260	68	487.980011	3.36786437	34	Contato
61	3	236.1738281	1786	152	1367	244	66	493.3599854	2.927329302	34	Contato
62	3	236.1618958	1795	152	1316	250	72	471.6700134	2.557093382	34	Contato
63	3	239.9642944	1723	151	1388	269	75	422.75	1.730057478	34	Floresta _Estacional_Semidecidual
64	3	237.6904602	1729	151	1265	232	71	476.7399902	3.110242605	34	Savana
65	3	238.569046	1720	151	1203	234	74	460.9599915	3.20706749	34	Savana
66	3	237.1785736	1725	151	1230	228	71	479.3699951	2.282702923	34	Savana
67	3	239.9095154	1736	151	1112	209	72	421.5899963	2.704018354	34	Savana
69	3	233.7857208	1783	151	1496	275	72	517.7299805	2.997963428	34	Contato
70	3	236.1928558	1784	152	1378	251	69	484.8200073	2.881513596	34	Contato
71	3	235.1618958	1753	151	1522	290	73	506.0100098	2.333620548	34	Savana
72	3	235.838089	1754	151	1476	275	72	494.1000061	3.095752478	34	Contato
73	3	236.2428589	1766	151	1322	248	73	474.0599976	3.090672255	34	Contato
74	3	232.2619019	1827	152	1478	267	70	522.1300049	3.484902382	34	Contato
75	3	232.7904663	1832	152	1374	238	67	508.6799927	3.066515207	34	Contato
76	3	231.5952301	1833	151	1498	272	70	535.1799927	2.34540987	34	Contato
77	3	234.6928558	1809	152	1368	256	72	489.9700012	2.594979525	34	Contato
78	3	234.0119019	1829	152	1223	237	75	509.5400085	3.739307642	34	Contato
79	3	233.9500122	1827	151	1262	221	68	500.8900146	3.055917978	34	Floresta _Estacional_Semidecidual
80	3	234.1309509	1820	151	1300	249	74	499.7999878	2.762729883	34	Contato
81	3	234.8023834	1815	151	1330	254	74	491.3399963	3.203694105	34	Contato
82	3	230.0619202	1871	151	1423	262	71	526.7299805	3.537013769	34	Floresta _Estacional_Semidecidual
83	3	231.7047729	1855	152	1437	245	67	521.2199707	3.462708473	34	Floresta _Estacional_Semidecidual
84	3	231.3952484	1852	152	1333	229	66	528.5	2.473005056	34	Contato
85	3	231.069046	1883	152	1515	266	68	526.3800049	3.062829971	34	Floresta _Estacional_Semidecidual
86	3	230.9904785	1858	152	1446	258	68	527.0900269	3.877300024	34	Floresta _Estacional_Semidecidual
87	3	233.7333374	1817	151	1408	264	72	512.6400146	2.183558702	34	Floresta _Estacional_Semidecidual
88	3	232.9095306	1868	151	1306	237	70	493.9200134	3.028670311	34	Floresta _Estacional_Semidecidual
89	3	232.9023743	1827	151	1423	269	74	530.1799927	3.829351664	34	Floresta _Estacional_Semidecidual
90	3	232.9785767	1861	151	1185	217	71	512.7600098	3.284519911	34	Floresta _Estacional_Semidecidual
91	3	232.1404877	1890	151	1149	211	71	530.6900024	3.147017241	34	Floresta _Estacional_Semidecidual
92	3	228.4428558	1928	152	1384	258	72	556.4400024	3.341355085	34	Floresta _Estacional_Semidecidual
93	3	230.2833405	1925	151	1293	233	70	539.7800293	3.912495375	34	Floresta _Estacional_Semidecidual
94	3	230.1571503	1903	151	1142	205	71	544.4000244	3.39125967	34	Floresta _Estacional_Semidecidual
95	3	229.6761932	1912	151	1312	241	73	551.7700195	4.057850838	34	Floresta _Estacional_Semidecidual
97	6	205.342865	2453	152	1357	199	43	636.210022	4.005199432	34	Floresta _Estacional_Semidecidual
98	6	209.892868	2393	152	1376	186	43	649.8699951	5.053442478	34	Contato
99	6	211.7023926	2429	152	1346	199	46	596.5499878	4.843845367	34	Floresta _Estacional_Semidecidual
100	6	222.7452393	2348	152	1391	202	48	485.9400024	4.129676819	34	Floresta _Estacional_Semidecidual
101	6	219.5595093	2445	153	1156	160	43	486.2099915	5.431218624	55	Floresta _Estacional_Semidecidual
103	6	222.5976257	2433	153	1308	198	46	456.9700012	4.929351807	34	Floresta _Estacional_Semidecidual
