Ponto	Drenagem	VREM%	SILVI%	AGRI%	Pastagem%	INFURB%	MINE%	AGUA%	NC%	RODO%
1	2	0	0	31.42857143	68.57142857	0	0	0	0	0
2	2	32.35294118	0	55.88235294	11.76470588	0	0	0	0	0
3	2	3.03030303	0	36.36363636	60.60606061	0	0	0	0	0
4	2	20	0	0	80	0	0	0	0	0
5	2	0	0	55.81395349	25.58139535	0	0	0	0	18.60465116
6	2	0	0	17.14285714	82.85714286	0	0	0	0	0
7	2	0	0	0	100	0	0	0	0	0
8	2	55.55555556	0	0	44.44444444	0	0	0	0	0
9	2	65.71428571	0	0	34.28571429	0	0	0	0	0
10	2	0	0	34.375	65.625	0	0	0	0	0
12	2	0	0	14.28571429	85.71428571	0	0	0	0	0
13	2	44.11764706	0	0	55.88235294	0	0	0	0	0
14	2	34.28571429	0	0	65.71428571	0	0	0	0	0
15	2	5.882352941	0	70.58823529	23.52941176	0	0	0	0	0
16	2	0	0	14.28571429	69.04761905	0	0	0	0	16.66666667
17	2	0	0	65.71428571	34.28571429	0	0	0	0	0
18	2	0	0	7.142857143	73.80952381	0	0	0	0	19.04761905
19	2	0	0	0	100	0	0	0	0	0
20	2	0	0	20	80	0	0	0	0	0
21	2	0	0	36.11111111	63.88888889	0	0	0	0	0
22	2	17.14285714	0	48.57142857	34.28571429	0	0	0	0	0
23	2	0	0	50	50	0	0	0	0	0
24	2	0	0	61.76470588	38.23529412	0	0	0	0	0
25	2	0	0	100	0	0	0	0	0	0
26	2	14.28571429	0	42.85714286	42.85714286	0	0	0	0	0
27	2	22.22222222	0	61.11111111	16.66666667	0	0	0	0	0
28	2	0	0	22.85714286	77.14285714	0	0	0	0	0
29	2	31.42857143	0	22.85714286	45.71428571	0	0	0	0	0
30	2	8.571428571	0	2.857142857	88.57142857	0	0	0	0	0
31	2	0	0	27.77777778	69.44444444	0	0	0	0	2.777777778
32	2	0	0	25.71428571	74.28571429	0	0	0	0	0
33	2	20.58823529	0	70.58823529	8.823529412	0	0	0	0	0
35	2	0	0	0	100	0	0	0	0	0
36	3	0	0	0	100	0	0	0	0	0
37	3	0	0	0	94.59459459	0	0	0	0	5.405405405
38	3	40.47619048	0	0	40.47619048	0	0	0	0	19.04761905
39	3	37.20930233	0	18.60465116	27.90697674	0	0	0	0	16.27906977
40	3	0	0	51.42857143	48.57142857	0	0	0	0	0
41	3	0	0	40.90909091	40.90909091	0	0	0	0	18.18181818
43	3	0	0	15.90909091	70.45454545	0	0	0	0	13.63636364
44	3	28.57142857	0	40	31.42857143	0	0	0	0	0
45	3	0	0	85.71428571	14.28571429	0	0	0	0	0
46	3	0	0	8.823529412	91.17647059	0	0	0	0	0
47	3	11.42857143	0	45.71428571	42.85714286	0	0	0	0	0
48	3	0	0	0	100	0	0	0	0	0
49	3	0	0	37.14285714	62.85714286	0	0	0	0	0
50	3	0	0	14.28571429	85.71428571	0	0	0	0	0
51	3	0	0	2.777777778	97.22222222	0	0	0	0	0
52	3	0	0	0	100	0	0	0	0	0
53	3	0	0	0	100	0	0	0	0	0
54	3	0	0	20.58823529	79.41176471	0	0	0	0	0
55	3	0	0	0	100	0	0	0	0	0
56	3	0	0	0	100	0	0	0	0	0
57	3	4.761904762	0	64.28571429	16.66666667	0	0	0	0	14.28571429
58	3	27.77777778	0	0	72.22222222	0	0	0	0	0
60	3	91.42857143	0	0	8.571428571	0	0	0	0	0
61	3	55.55555556	0	0	44.44444444	0	0	0	0	0
62	3	48.57142857	0	0	51.42857143	0	0	0	0	0
63	3	23.52941176	0	26.47058824	50	0	0	0	0	0
64	3	36.11111111	0	63.88888889	0	0	0	0	0	0
65	3	0	0	0	100	0	0	0	0	0
66	3	0	0	60	40	0	0	0	0	0
67	3	0	0	22.85714286	77.14285714	0	0	0	0	0
69	3	21.95121951	0	19.51219512	41.46341463	0	0	0	0	17.07317073
70	3	0	0	20	80	0	0	0	0	0
71	3	28.57142857	0	0	71.42857143	0	0	0	0	0
72	3	0	0	0	77.77777778	0	0	0	0	22.22222222
73	3	0	0	28.57142857	71.42857143	0	0	0	0	0
74	3	48.71794872	0	0	35.8974359	0	0	0	0	15.38461538
75	3	14.70588235	0	0	85.29411765	0	0	0	0	0
76	3	36.58536585	0	2.43902439	46.34146341	0	0	0	0	14.63414634
77	3	11.42857143	0	0	88.57142857	0	0	0	0	0
78	3	16.66666667	0	2.777777778	80.55555556	0	0	0	0	0
79	3	5.714285714	0	17.14285714	77.14285714	0	0	0	0	0
80	3	29.41176471	0	0	70.58823529	0	0	0	0	0
81	3	100	0	0	0	0	0	0	0	0
82	3	0	0	36.95652174	39.13043478	0	0	0	0	23.91304348
83	3	0	0	41.66666667	58.33333333	0	0	0	0	0
84	3	0	0	0	100	0	0	0	0	0
85	3	0	0	2.777777778	97.22222222	0	0	0	0	0
86	3	0	0	0	100	0	0	0	0	0
87	3	0	0	66	4	0	0	0	0	30
88	3	11.42857143	0	34.28571429	54.28571429	0	0	0	0	0
89	3	0	0	100	0	0	0	0	0	0
90	3	0	0	55.88235294	44.11764706	0	0	0	0	0
91	3	2.941176471	0	88.23529412	8.823529412	0	0	0	0	0
