Ponto	Drenagem	Ab_BL	Ab_Body_elong	Ab_Eye_ver	Ab_Rel_eye	Ab_O_gape	Ab_Body_lat	Ab_pect	Ab_Pect_size	Ab_Caud_ped	Ab_Area.caud	Ab_Area_pec	Ab_rel_algivoro	Ab_rel_detritivoro	Ab_rel_invertivoro	Ab_rel_onivoro	Ab_rel_piscivoro	Riq_algivoro	Riq_detritivoro	Riq_invertivoro	Riq_onivoro	Riq_piscivoro	Riq_rel_detritivoro	Riq_rel_invertivoro	Riq_rel_onivoro	Riq_rel_piscivoro	Riq_total_especies	Riq_Characiformes	Riq_rel_Characiformes	Riq_Siluriformes	Riq_rel_Siluriformes	Riq_Siluri_Characi	Riq_rel_Siluri_Characi	Riq_Cyprinidontiformes	Riq_rel_Cyprinidontiformes	Riq_Gymnotiformes	Riq_rel_Gymnotiformes	Riq_Cicliformes	Riq_rel_Cicliformes	Riq_Poecilia_reticulata	Riq_rel_Poecilia_reticulata	 Riq_Callichthyidae	 Riq_rel_Callichthyidae	 Riq_Characidae	 Riq_rel_Characidae	 Riq_Curimatidae	 Riq_rel_Curimatidae	 Riq_Crenuchidae	 Riq_rel_Crenuchidae	 Riq_Erythrinidae	 Riq_rel_Erythrinidae	 Riq_rel_Gymnotidae	 Riq_Gymnotidae	 Riq_Heptapteridae	 Riq_rel_Heptapteridae	 Riq_Loricariidae	 Riq_rel_Loricariidae	 Riq_Poeciliidae	 Riq_rel_Poeciliidae	Ab_total_especies	Ab_rel_Characiformes	Ab_rel_Siluriformes	Ab_rel_Siluri_Characi	Ab_rel_Cyprinidontiformes	Ab_rel_Gymnotiformes	Ab_rel_Cicliformes	Ab_rel_Poecilia_reticulata	Ab_rel_Callichthyidae	Ab_rel_Characidae	Ab_rel_Curimatidae	Ab_rel_Crenuchidae	Ab_rel_Erythrinidae	Ab_rel_Gymnotidae	Ab_rel_Heptapteridae	Ab_rel_Loricariidae	Ab_rel_Poeciliidae
1	2	68.19	3.37	0.39	0.34	0.16	0.57	0.12	0.68	2.38	3.19	1.05	0.06	0.25	0.32	0.36	0.01	1.00	2.00	7.00	3.00	1.00	0.08	0.28	0.12	0.04	14.00	7.00	0.50	5.00	0.36	12.00	0.86	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	3.00	0.21	5.00	0.36	1.00	0.07	0.00	0.00	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	95.00	0.49	0.40	0.89	0.00	0.06	0.04	0.00	0.26	0.36	0.13	0.00	0.01	0.06	0.02	0.01	0.00
2	2	55.81	3.72	0.35	0.42	0.23	0.57	0.19	0.87	1.69	3.04	1.14	0.00	0.60	0.23	0.09	0.00	0.00	3.00	4.00	3.00	0.00	0.15	0.20	0.15	0.00	13.00	6.00	0.46	3.00	0.23	9.00	0.69	1.00	0.08	1.00	0.08	2.00	0.15	1.00	0.08	2.00	0.15	2.00	0.15	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	387.00	0.18	0.18	0.36	0.51	0.07	0.06	0.51	0.12	0.07	0.02	0.00	0.00	0.07	0.00	0.00	0.51
3	2	76.03	2.79	0.34	0.41	0.16	0.54	0.09	0.62	2.57	4.04	1.04	0.00	0.28	0.66	0.03	0.03	0.00	3.00	4.00	1.00	1.00	0.20	0.27	0.07	0.07	9.00	4.00	0.44	4.00	0.44	8.00	0.89	1.00	0.11	0.00	0.00	0.00	0.00	1.00	0.11	2.00	0.22	2.00	0.22	1.00	0.11	0.00	0.00	1.00	0.11	0.00	0.00	1.00	0.11	1.00	0.11	1.00	0.11	145.00	0.87	0.12	0.99	0.01	0.00	0.00	0.01	0.03	0.65	0.19	0.00	0.03	0.00	0.01	0.01	0.01
4	2	67.40	2.59	0.27	0.48	0.13	0.47	0.07	0.55	2.38	3.58	0.77	0.00	0.43	0.43	0.10	0.03	0.00	2.00	2.00	1.00	1.00	0.17	0.17	0.08	0.08	6.00	5.00	0.83	0.00	0.00	5.00	0.83	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	0.00	0.00	3.00	0.50	1.00	0.17	0.00	0.00	1.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	71.00	0.99	0.00	0.99	0.01	0.00	0.00	0.01	0.00	0.54	0.42	0.00	0.03	0.00	0.00	0.00	0.01
5	2	98.71	3.25	0.37	0.39	0.18	0.55	0.08	0.72	2.73	4.80	1.15	0.00	0.25	0.42	0.32	0.00	0.00	2.00	3.00	1.00	0.00	0.13	0.19	0.06	0.00	6.00	3.00	0.50	2.00	0.33	5.00	0.83	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	0.00	0.00	3.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	1.00	0.17	31.00	0.58	0.35	0.94	0.06	0.00	0.00	0.06	0.00	0.58	0.00	0.00	0.00	0.00	0.16	0.03	0.06
6	2	66.24	2.79	0.33	0.45	0.20	0.52	0.07	0.64	2.82	3.35	0.73	0.00	0.09	0.66	0.25	0.00	0.00	3.00	4.00	3.00	0.00	0.14	0.19	0.14	0.00	10.00	7.00	0.70	1.00	0.10	8.00	0.80	1.00	0.10	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	5.00	0.50	1.00	0.10	1.00	0.10	0.00	0.00	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	86.00	0.91	0.06	0.97	0.02	0.01	0.00	0.02	0.00	0.85	0.01	0.05	0.00	0.01	0.00	0.01	0.02
7	2	61.10	2.72	0.32	0.42	0.19	0.51	0.11	0.63	2.58	3.07	0.79	0.17	0.01	0.77	0.04	0.01	1.00	1.00	7.00	1.00	1.00	0.04	0.29	0.04	0.04	11.00	4.00	0.36	3.00	0.27	7.00	0.64	1.00	0.09	1.00	0.09	2.00	0.18	1.00	0.09	1.00	0.09	2.00	0.18	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	2.00	0.18	0.00	0.00	1.00	0.09	102.00	0.78	0.12	0.90	0.01	0.01	0.08	0.01	0.07	0.74	0.00	0.04	0.01	0.01	0.05	0.00	0.01
8	2	88.29	4.15	0.42	0.31	0.10	0.58	0.12	0.81	2.33	3.62	1.33	0.00	0.22	0.73	0.04	0.01	0.00	1.00	8.00	3.00	1.00	0.05	0.38	0.14	0.05	13.00	6.00	0.46	5.00	0.38	11.00	0.85	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	2.00	0.15	4.00	0.31	0.00	0.00	0.00	0.00	1.00	0.08	1.00	0.08	2.00	0.15	1.00	0.08	0.00	0.00	96.00	0.31	0.59	0.91	0.00	0.08	0.01	0.00	0.03	0.29	0.00	0.00	0.01	0.08	0.34	0.01	0.00
9	2	48.39	2.86	0.35	0.52	0.27	0.58	0.09	0.67	3.09	2.79	0.69	0.04	0.00	0.88	0.04	0.04	1.00	0.00	5.00	1.00	1.00	0.00	0.24	0.05	0.05	8.00	6.00	0.75	1.00	0.13	7.00	0.88	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	1.00	0.13	5.00	0.63	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	0.92	0.04	0.96	0.00	0.00	0.04	0.00	0.04	0.88	0.00	0.00	0.04	0.00	0.00	0.00	0.00
10	2	66.96	2.95	0.34	0.44	0.20	0.54	0.10	0.64	2.62	3.48	0.88	0.00	0.21	0.54	0.21	0.03	0.00	3.00	4.00	4.00	1.00	0.17	0.22	0.22	0.06	13.00	6.00	0.46	5.00	0.38	11.00	0.85	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	1.00	0.08	4.00	0.31	1.00	0.08	0.00	0.00	1.00	0.08	0.00	0.00	2.00	0.15	2.00	0.15	1.00	0.08	124.00	0.87	0.06	0.93	0.06	0.00	0.01	0.06	0.01	0.70	0.14	0.00	0.03	0.00	0.03	0.02	0.06
